Code,Country,Location,Year_start,Year_end,Practice,Economic Outcome,Units,xrat_obs,xrat_2015,cpi_obs,cpi_2015,ppp_2015,MeanT,MeanC,MeanT_local,MeanC_local,MeanT_local_2015,MeanC_local_2015,MeanT_2015_usd,MeanC_2015_usd,MeanT_2015_ppp_intusd,MeanC_2015_ppp_intusd
6146819,Benin,Guinea-Sudan transition zone,2002,2004,Residue/Mulch,Net Present Value,USD/ha,579.9,591.2,80.4,109.7,220.5,757,178,438982.4,103221.7,599193.4,140893.6,1013.5,238.3,2717.1,638.9
6146819,Benin,Guinea-Sudan transition zone,2002,2004,Residue/Mulch,Net Present Value,USD/ha,579.9,591.2,80.4,109.7,220.5,822,178,476675.7,103221.7,650643.3,140893.6,1100.5,238.3,2950.4,638.9
6135851,Benin,"Gbeboro, Kandi",2007,2007,Agroforestry,Gross Revenue,XOF,1,591.2,89.8,109.7,220.5,164220,3468,164220,3468,200608.3,4236.4,339.3,7.2,909.7,19.2
6135851,Benin,"Gbeboro, Kandi",2007,2007,Agroforestry,Gross Revenue,XOF,1,591.2,89.8,109.7,220.5,114648,3468,114648,3468,140052,4236.4,236.9,7.2,635.1,19.2
6135851,Benin,"Gbeboro, Kandi",2007,2007,Agroforestry,Gross Revenue,XOF,1,591.2,89.8,109.7,220.5,164220,194650,164220,194650,200608.3,237781.1,339.3,402.2,909.7,1078.3
6135851,Benin,"Gbeboro, Kandi",2007,2007,Agroforestry,Gross Revenue,XOF,1,591.2,89.8,109.7,220.5,114648,194650,114648,194650,140052,237781.1,236.9,402.2,635.1,1078.3
6135851,Benin,"Gbeboro, Kandi",2007,2007,Agroforestry,Profit,XOF,1,591.2,89.8,109.7,220.5,125340,968,125340,968,153113.2,1182.5,259,2,694.3,5.4
6135851,Benin,"Gbeboro, Kandi",2007,2007,Agroforestry,Profit,XOF,1,591.2,89.8,109.7,220.5,80248,968,80248,968,98029.6,1182.5,165.8,2,444.5,5.4
6135851,Benin,"Gbeboro, Kandi",2007,2007,Agroforestry,Profit,XOF,1,591.2,89.8,109.7,220.5,125340,89450,125340,89450,153113.2,109270.6,259,184.8,694.3,495.5
6135851,Benin,"Gbeboro, Kandi",2007,2007,Agroforestry,Profit,XOF,1,591.2,89.8,109.7,220.5,80248,89450,80248,89450,98029.6,109270.6,165.8,184.8,444.5,495.5
6135851,Benin,"Gbeboro, Kandi",2007,2007,Agroforestry,Cost,XOF,1,591.2,89.8,109.7,220.5,38880,2500,38880,2500,47495.1,3054,80.3,5.2,215.4,13.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,Agroforestry,Cost,XOF,1,591.2,89.8,109.7,220.5,34400,2500,34400,2500,42022.4,3054,71.1,5.2,190.6,13.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,Agroforestry,Cost,XOF,1,591.2,89.8,109.7,220.5,38880,105200,38880,105200,47495.1,128510.5,80.3,217.4,215.4,582.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,Agroforestry,Cost,XOF,1,591.2,89.8,109.7,220.5,34400,105200,34400,105200,42022.4,128510.5,71.1,217.4,190.6,582.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,Agroforestry,Cost,XOF,1,591.2,89.8,109.7,220.5,38880,2500,38880,2500,47495.1,3054,80.3,5.2,215.4,13.8
