PrName,Out.SubInd,N.Obs,N.Studies,vote_mean,variable,value,direction
Improved Livestock Diet,Cost,1,1,2,posT_negC,0,positive
Improved Livestock Diet,Profit,1,1,2,posT_negC,0,positive
Reduced Tillage,Cost,204,45,-0.443352601156069,posT_negC,0,positive
Reduced Erosion+Reduced Tillage,Cost,6,1,-1,posT_negC,0,positive
Reduced Tillage,Gross Revenue,180,38,-0.0495379072681704,posT_negC,0,positive
Reduced Erosion+Reduced Tillage,Gross Revenue,6,1,0.5,posT_negC,0,positive
Reduced Tillage,Profit,267,49,0.475297397945391,posT_negC,11,positive
Reduced Erosion+Reduced Tillage,Profit,6,1,1.16683333333333,posT_negC,1,positive
Reduced Tillage,Labour Cost,3,2,1,posT_negC,0,positive
Reduced Erosion+Reduced Tillage,Labour Cost,2,1,1,posT_negC,0,positive
Biochar,Gross Revenue,79,9,0.420386904761905,posT_negC,0,positive
Biochar,Profit,91,10,0.368279569892473,posT_negC,0,positive
Agroforestry,Gross Revenue,29,7,0.11969696969697,posT_negC,0,positive
Intercropping+Residue/Mulch,Profit,3,1,1,posT_negC,0,positive
Reduced Erosion+Reduced Tillage+Residue/Mulch,Profit,3,1,1,posT_negC,0,positive
Reduced Erosion+Intercropping+Reduced Tillage+Residue/Mulch,Profit,3,1,1,posT_negC,0,positive
Reduced Tillage+Residue/Mulch,Gross Revenue,56,16,0.175925925925926,posT_negC,0,positive
Reduced Irrigation+Reduced Tillage,Gross Revenue,55,10,0.0794871794871795,posT_negC,0,positive
Reduced Irrigation+Reduced Tillage+Residue/Mulch,Gross Revenue,15,3,0.222727272727273,posT_negC,0,positive
Reduced Tillage+Residue/Mulch,Profit,108,26,0.423169384057971,posT_negC,4,positive
Reduced Irrigation+Reduced Tillage,Profit,67,14,0.379709150326797,posT_negC,0,positive
Reduced Irrigation+Reduced Tillage+Residue/Mulch,Profit,19,5,0.458823529411765,posT_negC,0,positive
Reduced Tillage+Residue/Mulch,Cost,65,22,-0.345939189189189,posT_negC,1,positive
Reduced Irrigation+Reduced Tillage,Cost,61,13,-0.490625,posT_negC,0,positive
Reduced Irrigation+Reduced Tillage+Residue/Mulch,Cost,19,5,-0.885294117647059,posT_negC,0,positive
Residue/Mulch,Gross Revenue,161,30,0.493700072621641,posT_negC,0,positive
Residue/Mulch,Profit,270,42,0.420267458463136,posT_negC,13,positive
Residue/Mulch,Benefit Cost Ratio,235,29,0.0758230452674897,posT_negC,5,positive
Reduced Tillage,Benefit Cost Ratio,230,39,0.361485042735043,posT_negC,0,positive
Reduced Tillage+Residue/Mulch,Benefit Cost Ratio,65,16,0.287736363636364,posT_negC,1,positive
Intercropping,Gross Revenue,105,12,0.845350241545894,posT_negC,0,positive
