PrName,Out.SubInd,vote_mean,posT_negC,positive_strong,positive,neutral,negative,negative_strong,posC_negT,N.Obs,N.Studies
Improved Livestock Diet,Cost,2,0,1,0,0,0,0,0,1,1
Improved Livestock Diet,Profit,2,0,1,0,0,0,0,0,1,1
Reduced Tillage,Cost,-0.443352601156069,0,0,14,138,49,3,0,204,45
Reduced Erosion+Reduced Tillage,Cost,-1,0,0,0,0,6,0,0,6,1
Reduced Tillage,Gross Revenue,-0.0495379072681704,0,4,31,91,53,1,0,180,38
Reduced Erosion+Reduced Tillage,Gross Revenue,0.5,0,1,1,4,0,0,0,6,1
Reduced Tillage,Profit,0.475297397945391,11,37,60,70,54,15,20,267,49
Reduced Erosion+Reduced Tillage,Profit,1.16683333333333,1,2,2,1,0,0,0,6,1
Reduced Tillage,Labour Cost,1,0,0,3,0,0,0,0,3,2
Reduced Erosion+Reduced Tillage,Labour Cost,1,0,0,2,0,0,0,0,2,1
Biochar,Gross Revenue,0.420386904761905,0,9,28,39,3,0,0,79,9
Biochar,Profit,0.368279569892473,0,7,36,37,11,0,0,91,10
Agroforestry,Gross Revenue,0.11969696969697,0,7,7,8,6,1,0,29,7
Intercropping+Residue/Mulch,Profit,1,0,0,3,0,0,0,0,3,1
Reduced Erosion+Reduced Tillage+Residue/Mulch,Profit,1,0,0,3,0,0,0,0,3,1
Reduced Erosion+Intercropping+Reduced Tillage+Residue/Mulch,Profit,1,0,0,3,0,0,0,0,3,1
Reduced Tillage+Residue/Mulch,Gross Revenue,0.175925925925926,0,1,11,32,12,0,0,56,16
Reduced Irrigation+Reduced Tillage,Gross Revenue,0.0794871794871795,0,2,11,40,2,0,0,55,10
Reduced Irrigation+Reduced Tillage+Residue/Mulch,Gross Revenue,0.222727272727273,0,0,9,4,2,0,0,15,3
Reduced Tillage+Residue/Mulch,Profit,0.423169384057971,4,17,35,25,20,4,3,108,26
Reduced Irrigation+Reduced Tillage,Profit,0.379709150326797,0,13,28,18,6,0,2,67,14
Reduced Irrigation+Reduced Tillage+Residue/Mulch,Profit,0.458823529411765,0,8,6,1,2,2,0,19,5
Reduced Tillage+Residue/Mulch,Cost,-0.345939189189189,1,0,9,27,26,2,0,65,22
Reduced Irrigation+Reduced Tillage,Cost,-0.490625,0,2,1,22,35,1,0,61,13
Reduced Irrigation+Reduced Tillage+Residue/Mulch,Cost,-0.885294117647059,0,1,0,1,17,0,0,19,5
Residue/Mulch,Gross Revenue,0.493700072621641,0,19,59,67,16,0,0,161,30
Residue/Mulch,Profit,0.420267458463136,13,67,68,71,24,21,6,270,42
Residue/Mulch,Benefit Cost Ratio,0.0758230452674897,5,17,52,105,49,6,1,235,29
Reduced Tillage,Benefit Cost Ratio,0.361485042735043,0,6,61,102,59,2,0,230,39
Reduced Tillage+Residue/Mulch,Benefit Cost Ratio,0.287736363636364,1,5,17,22,18,2,0,65,16
Intercropping,Gross Revenue,0.845350241545894,0,41,21,35,6,2,0,105,12
Intercropping,Profit,0.715082948717949,21,96,30,25,20,7,2,201,16
Intercropping,Benefit Cost Ratio,0.24280303030303,0,37,22,36,15,8,0,118,13
Intercropping+Rotation,Gross Revenue,1.5,0,6,1,0,0,0,0,7,3
Rotation,Gross Revenue,1.00572519083969,0,8,9,3,1,0,0,21,9
Intercropping+Rotation,Profit,0.970588235294118,0,7,0,0,1,1,0,9,4
Rotation,Profit,0.590574297188755,2,15,21,12,4,2,0,56,17
Reduced Irrigation,Gross Revenue,0.28562091503268,0,7,26,53,5,0,0,91,15
Reduced Irrigation,Profit,0.418806878306878,6,26,28,37,14,0,0,111,19
Reduced Irrigation,Benefit Cost Ratio,0.279259259259259,0,7,29,53,5,0,0,94,13
Reduced Irrigation+Reduced Tillage,Benefit Cost Ratio,0.505128205128205,0,5,52,27,2,4,0,90,10
Agroforestry+Controlled Grazing+Reduced Erosion+Intercropping,Gross Revenue,0.5,0,0,1,1,0,0,0,2,1
Agroforestry+Controlled Grazing+Reduced Erosion+Intercropping,Cost,1,0,1,0,1,0,0,0,2,1
Agroforestry+Controlled Grazing+Reduced Erosion+Intercropping,Profit,0.5,0,0,1,1,0,0,0,2,1
Agroforestry,Profit,-0.212649425287356,1,9,12,4,4,4,2,36,9
Agroforestry,Benefit Cost Ratio,0.2975,0,3,26,33,11,0,0,73,6
Agroforestry+Reduced Irrigation,Gross Revenue,0.5,0,2,0,0,2,0,0,4,1
Agroforestry+Reduced Irrigation,Profit,1,0,2,1,0,1,0,0,4,1
