PrName,Out.SubInd,N.Obs,N.Studies,vote_mean,variable,value,direction
Improved Livestock Diet,Cost,1,1,2,posT_negC,0,positive
Improved Livestock Diet,Profit,1,1,2,posT_negC,0,positive
Reduced Tillage,Cost,454,62,-0.404553597196454,posT_negC,1,positive
Reduced Tillage,Gross Revenue,394,49,0.117071802543007,posT_negC,0,positive
Reduced Tillage,Profit,644,70,0.581008119636448,posT_negC,21,positive
Reduced Tillage,Labour Cost,13,3,0.727272727272727,posT_negC,0,positive
Reduced Tillage,Benefit Cost Ratio,508,49,0.463163300922463,posT_negC,1,positive
Reduced Tillage,Labour Cost per Asset,1,1,1,posT_negC,0,positive
Reduced Tillage,Marginal Rate of Return,1,1,1.001,posT_negC,1,positive
Reduced Tillage,Net Present Value,7,1,1.71442857142857,posT_negC,1,positive
Reduced Tillage,Internal Rate of Return,7,1,1.85714285714286,posT_negC,0,positive
Reduced Tillage,Payback Period,7,1,2,posT_negC,0,positive
Reduced Tillage,Fixed Cost,4,1,0,posT_negC,0,positive
Reduced Erosion,Cost,30,7,0.574175824175824,posT_negC,0,positive
Reduced Erosion,Gross Revenue,25,7,0.979591836734694,posT_negC,0,positive
Reduced Erosion,Profit,58,11,0.760383597883598,posT_negC,3,positive
Reduced Erosion,Labour Cost,8,2,1.33333333333333,posT_negC,0,positive
Reduced Erosion,Benefit Cost Ratio,41,7,0.357142857142857,posT_negC,0,positive
Biochar,Gross Revenue,106,9,0.625446428571429,posT_negC,0,positive
Biochar,Profit,130,10,0.510483870967742,posT_negC,0,positive
Biochar,Cost,130,10,0.825806451612903,posT_negC,0,positive
Biochar,Benefit Cost Ratio,189,11,-0.503676470588235,posT_negC,0,positive
Agroforestry,Gross Revenue,45,9,0.189784946236559,posT_negC,0,positive
Agroforestry,Cost,54,10,0.019047619047619,posT_negC,0,positive
Agroforestry,Profit,54,11,0.0570131578947368,posT_negC,1,positive
Agroforestry,Benefit Cost Ratio,89,8,0.360344827586207,posT_negC,0,positive
Agroforestry,Net Present Value,53,3,-0.286981481481482,posT_negC,1,positive
Agroforestry,Present Value of Benefit,2,1,2,posT_negC,0,positive
Agroforestry,Present Value of Cost,2,1,1,posT_negC,0,positive
Intercropping,Profit,254,25,0.829564997665733,posT_negC,22,positive
Intercropping,Gross Revenue,136,20,1.00362165963432,posT_negC,0,positive
Intercropping,Benefit Cost Ratio,171,19,0.36531862745098,posT_negC,0,positive
Intercropping,Cost,138,19,0.605555555555556,posT_negC,0,positive
Intercropping,Returns to Labour,27,1,1.40740740740741,posT_negC,0,positive
Intercropping,Labour Cost per Asset,19,2,1.5,posT_negC,0,positive
Intercropping,Marginal Rate of Return,8,2,-0.857142857142857,posT_negC,0,positive
