Author,Title,DOI,Code
"Maliki, Raphiou; Sinsin, Brice; Toukourou, Mouissou; Vernier, Philippe",Productivity of yam-based systems with herbaceous legumes and short fallows in the Guinea-Sudan transition zone of Benin,10.1007/s10705-011-9468-7,6146819
"Deb, Jiban Chandra; Hickey, Gordon M.; Kayes, Imrul; Rahman, H. M. Tuihedur","Contrasting the financial efficiency of agroforestry practices in buffer zone management of Madhupur National Park, Bangladesh",10.1007/s10310-013-0392-3,6133383
"Borghi, E.; Crusciol, C. A. C.; Martins, P. O.; Mateus, G. P.; Nascente, A. S.; Pariz, C. M.",Intercropping soybean and palisade grass for enhanced land use efficiency and revenue in a no till system,10.1016/j.eja.2014.05.001,6134244
"Chander, Girish; Dar, William D.; Dixin, Yin; Li, Zhong; Wani, Suhas P.",Enhancing agricultural productivity and rural incomes through sustainable use of natural resources in the Semi Arid Tropics,10.1002/jsfa.4721,6141896
"Li, Changjiang; Li, Shuo",Energy budget and carbon footprint in a wheat and maize system under ridge furrow strategy in dry semi humid areas,10.1038/s41598-021-88717-3,6141793
"Cao, Guojun; Geng, Yuhui; Huang, Jinxin; Wang, Lichun; Wang, Meng",Can drip irrigation under mulch be replaced with shallow-buried drip irrigation in spring maize production systems in semiarid areas of northern China?,10.1002/jsfa.10808,6141772
"Li, Luhua; Liu, Tingting; Shen, Lei; Tuerti, Tayir; Wang, Xiuyuan; Wei, Wenwen; Zhang, Shuai; Zhang, Wei",Juvenile plumcot tree can improve fruit quality and economic benefits by intercropping with alfalfa in semi-arid areas,10.1016/j.agsy.2022.103590,6136220
"Alamery, Salman; Das, Shobhan; El-Kholy, Mohamed Farouk; Hassan, Khairy H. A.; Salem-Bekhit, Mounir M.","Effect of Some Soil Conditioners on Water-Use Efficacy, Growth, and Yield of Date Palm Siwi Grown in Sandy Soil under Different Irrigation Regimes to Mitigate Climate Change",10.3390/su141811421,6141588
"Calderon, Claudia Irene; Hogan, Rose; Jeronimo, Claudia; Leon, Raquel; Prado Cordova, Jose Pablo; Praun, Alexandra; Reyna, Jaime; Santos Castillo, Ivan Dimitri",Agroecology-based farming provides grounds for more resilient livelihoods among smallholders in Western Guatemala,10.1080/21683565.2018.1489933,6141650
"Bandyopadhyay, KK; Ghosh, PK; Hati, KM; Mandal, KG; Misra, AK; Saha, KP; Singh, VV",Cropping systems of Central India: An energy and economic analysis,10.1300/J064v25n03\_08,6133498
"Ghosh, A.",Integrated Nutrient Management by Using Target Yield Equations for Rice-Jute System in Eastern India,10.1080/10440040802121528,6135654
"Abrol, Vikas; Sharma, Peeyush; Sharma, R. K.","Impact of tillage and mulch management on economics, energy requirement and crop performance in maize-wheat rotation in rainfed subhumid inceptisols, India",10.1016/j.eja.2010.10.003,6135638
"Banik, Pabitra; Sharma, Ravi Chandra","Baby Corn-Legumes Intercropping Systems: I. Yields, Resource Utilization Efficiency, and Soil Health",10.1080/21683565.2014.942764,6141839
"Dadhwal, K. S.; Ghosh, B. N.; Mishra, P. K.; Patra, Sridhar; Sharma, N. K.; Singh, Raman Jeet",Energy budgeting and emergy synthesis of rainfed maize-wheat rotation system with different soil amendment applications,10.1016/j.ecolind.2015.10.026,6141594
"Gupta, Chandra; Gupta, Sanjiv; Pathak, A. D.; Patnaik, J. R.; Sah, A. K.; Singh, S. N.; Singh, V. K.; Tripathi, M. K.",Enhancing Crop Productivity and Profitability of Autumn Sugarcane with Intercropping of Winter Vegetables in Real Farming Situations of North-Central India,10.1007/s12355-022-01219-y,6141856
"Babu, Subhash; Das, Anup; Datta, Mrinmoy; Lal, Rattan; Meena, Ram Swaroop; Patil, Somanagouda B.; Saha, Poulami; Yadav, Gulab Singh",Conservation tillage and mulching effects on the adaptive capacity of direct-seeded upland rice (Oryza sativa L.) to alleviate weed and moisture stresses in the North Eastern Himalayan Region of India,10.1080/03650340.2018.1423555,6133257
"Adhikary, Saju; Bhowmick, Udayan Rudra; Biswas, Benukar; Chakraborty, Debashis; Dhara, Pratap Kumar; Ghosh (Lkn), Dipak Kumar; Kanthal, Sahely; Mondal, Mousumi; Parsad, Rajender; Patra, Kiranmay; Ray, Bikash Ranjan; Sarkar, Arindam; Sarkar, Sukamal; Timsina, Jagadish",Agroforestry offers multiple ecosystem services in degraded lateritic soils,10.1016/j.jclepro.2022.132768,6141943
"Bhat, Mohammad Anwar; Brestic, Marian; EL Sabagh, Ayman; Ganai, Manzoor A.; Hussain, Ashaq; Jehangir, Intikhab Aalum; Mahdi, Syed Sheraz; R. Sofi, Najeeb; Raja, Waseem; Skalicky, Milan; Soufan, Walid; Teeli, Nazir Ahmad; Ueda, Akihiro; Wani, Shabir H.",Response of Rice (Oryza sativa L.) Cultivars to Variable Rate of Nitrogen under Wet Direct Seeding in Temperate Ecology,10.3390/su14020638,6137083
"Bochalya, R. S.; Gupta, A. K.; Kumar, Deepak; Kumar, P.; Mehta, Swati; Puniya, R.; Thakur, N. P.","Residual Effect of Fertility Levels, Biofertilizer and Foliar Nutrition on Yield and Yield Attributes of Summer Blackgram (Vigna mungo L.) in Wheat-blackgram Cropping System under Subtropical Conditions in Jammu",10.18805/LR-4843,6136635
"An, Chanratha; Malacrino, Antonino; Miller, Sally; Norton, George; O'Rourke, Megan E.; Porras, Mitzy F.; Rajotte, Edwin G.; Rosa, Cristina; Seng, Kim Hian; Socheath, Ong",An Integrated Pest Management Program Outperforms Conventional Practices for Tomato (Solanum lycopersicum) in Cambodia,10.1094/PHP-09-21-0123-RS,6141813
"Farnworth, Cathy Rozel; Mupangwa, Walter; Mutenje, Munyaradzi Junia; Nyagumbo, Isaiah; Stirling, Clare; Thierfelder, Christian",A cost-benefit analysis of climate-smart agriculture options in Southern Africa: Balancing gender and technology,10.1016/j.ecolecon.2019.05.013,6141632
"Adigbo, S. O.; Adigbo, V. B.; Okeleye, K. A.",Performance of upland rice fitted into lowland rice-vegetable/cowpea sequence in rainfed inland valley,10.2134/agronj2005.0170,6141491
"Ali, Syed N. Azam; Iqbal, Munawar; Maqsood, Muhammad; Shehzad, Muhammad Asif",Rice cultures and nitrogen rate effects on yield and quality of rice (Oryza sativa L.),10.3906/tar-1203-5,6137005
