PrName,Out.SubInd,N.Obs,N.Studies,vote_mean,variable,value,direction
Improved Livestock Diet,Variable Cost,1,1,2,posT_negC,0,positive
Improved Livestock Diet,Gross Profit,1,1,2,posT_negC,0,positive
Reduced Tillage,Variable Cost,180,41,-0.463522012578616,posT_negC,0,positive
Reduced Erosion+Reduced Tillage,Variable Cost,6,1,-1,posT_negC,0,positive
Reduced Tillage,Gross Revenue,180,38,-0.0495379072681704,posT_negC,0,positive
Reduced Erosion+Reduced Tillage,Gross Revenue,6,1,0.5,posT_negC,0,positive
Reduced Tillage,Gross Profit,241,45,0.455504542140566,posT_negC,11,positive
Reduced Erosion+Reduced Tillage,Gross Profit,6,1,1.16683333333333,posT_negC,1,positive
Biochar,Gross Revenue,79,9,0.420386904761905,posT_negC,0,positive
Biochar,Gross Profit,91,10,0.368279569892473,posT_negC,0,positive
Biochar,Total Cost,45,4,0.25,posT_negC,0,positive
Agroforestry,Gross Revenue,29,7,0.11969696969697,posT_negC,0,positive
Intercropping+Residue/Mulch,Gross Profit,3,1,1,posT_negC,0,positive
Reduced Erosion+Reduced Tillage+Residue/Mulch,Gross Profit,3,1,1,posT_negC,0,positive
Reduced Erosion+Intercropping+Reduced Tillage+Residue/Mulch,Gross Profit,3,1,1,posT_negC,0,positive
Reduced Tillage+Residue/Mulch,Gross Revenue,56,16,0.175925925925926,posT_negC,0,positive
Reduced Irrigation+Reduced Tillage,Gross Revenue,55,10,0.0794871794871795,posT_negC,0,positive
Reduced Irrigation+Reduced Tillage+Residue/Mulch,Gross Revenue,15,3,0.222727272727273,posT_negC,0,positive
Reduced Tillage+Residue/Mulch,Gross Profit,105,24,0.46347123015873,posT_negC,4,positive
Reduced Irrigation+Reduced Tillage,Gross Profit,67,14,0.379709150326797,posT_negC,0,positive
Reduced Irrigation+Reduced Tillage+Residue/Mulch,Gross Profit,19,5,0.458823529411765,posT_negC,0,positive
Reduced Tillage+Residue/Mulch,Variable Cost,63,20,-0.322380597014925,posT_negC,1,positive
Reduced Irrigation+Reduced Tillage,Variable Cost,59,12,-0.523333333333333,posT_negC,0,positive
Reduced Irrigation+Reduced Tillage+Residue/Mulch,Variable Cost,17,4,-0.860714285714286,posT_negC,0,positive
Residue/Mulch,Gross Revenue,161,30,0.493700072621641,posT_negC,0,positive
Residue/Mulch,Gross Profit,260,38,0.410899405279954,posT_negC,13,positive
Intercropping,Gross Revenue,105,12,0.845350241545894,posT_negC,0,positive
Intercropping,Net Profit,3,1,1.66666666666667,posT_negC,0,positive
Intercropping+Rotation,Gross Revenue,7,3,1.5,posT_negC,0,positive
Rotation,Gross Revenue,21,9,1.00572519083969,posT_negC,0,positive
Intercropping+Rotation,Gross Profit,9,4,0.970588235294118,posT_negC,0,positive
Rotation,Gross Profit,52,16,0.564633946830266,posT_negC,2,positive
Intercropping,Gross Profit,186,13,0.473471732026144,posT_negC,21,positive
Reduced Irrigation,Gross Revenue,91,15,0.28562091503268,posT_negC,0,positive
Reduced Irrigation,Gross Profit,55,14,0.341489361702128,posT_negC,0,positive
Agroforestry+Controlled Grazing+Reduced Erosion+Intercropping,Gross Revenue,2,1,0.5,posT_negC,0,positive
Agroforestry+Controlled Grazing+Reduced Erosion+Intercropping,Variable Cost,2,1,1,posT_negC,0,positive
Agroforestry+Controlled Grazing+Reduced Erosion+Intercropping,Gross Profit,2,1,0.5,posT_negC,0,positive
Agroforestry,Net Profit,12,3,0.142833333333333,posT_negC,1,positive
Agroforestry+Reduced Irrigation,Gross Revenue,4,1,0.5,posT_negC,0,positive
Agroforestry+Reduced Irrigation,Gross Profit,4,1,1,posT_negC,0,positive
Agroforestry+Reduced Irrigation,Variable Cost,8,1,0,posT_negC,0,positive
Reduced Irrigation,Total Cost,40,3,0,posT_negC,0,positive
Reduced Irrigation,Net Profit,40,3,0.683333333333333,posT_negC,0,positive
Residue/Mulch,Variable Cost,171,32,0.306414330218069,posT_negC,5,positive
Reduced Fert,Gross Revenue,273,31,-0.116464998632759,posT_negC,0,positive
Controlled Release Fert+Reduced Tillage,Gross Revenue,6,1,-0.833333333333333,posT_negC,0,positive
Reduced Fert+Reduced Tillage,Gross Profit,66,4,-0.517361111111111,posT_negC,3,positive
Reduced Fert,Gross Profit,291,35,-0.247160139060025,posT_negC,10,positive
Controlled Release Fert,Gross Profit,8,2,-0.5,posT_negC,0,positive
Controlled Release Fert+Reduced Tillage,Gross Profit,2,1,0,posT_negC,0,positive
IPM,Net Profit (Unconfirmed),4,2,0.0416666666666667,posT_negC,0,positive
Rotation,Returns to Labour,54,1,1.68518518518519,posT_negC,0,positive
Reduced Fert,Returns to Labour,18,1,-0.666666666666667,posT_negC,0,positive
Cover Crops+Intercropping,Returns to Labour,27,1,1.40740740740741,posT_negC,0,positive
Intercropping,Variable Cost,94,9,0.832078853046595,posT_negC,0,positive
Reduced Fert,Variable Cost,227,31,-0.0672955974842767,posT_negC,0,positive
Intercropping+Reduced Tillage,Gross Revenue,8,3,0.7,posT_negC,0,positive
Intercropping+Reduced Tillage,Labour Cost per Asset,1,1,1,posT_negC,0,positive
Rotation,Benefit Cost Ratio (Unspecified),5,2,0.25,posT_negC,0,positive
Reduced Erosion,Net Profit (Unconfirmed),16,1,1,posT_negC,0,positive
Reduced Erosion,Benefit Cost Ratio (Unspecified),10,1,0.9,posT_negC,0,positive
Reduced Erosion+Organic Fert,Gross Revenue,1,1,0,posT_negC,0,positive
Cover Crops+Reduced Erosion+Intercropping+Rotation,Gross Revenue,1,1,2,posT_negC,0,positive
Reduced Erosion+Organic Fert,Gross Profit,1,1,0,posT_negC,0,positive
Cover Crops+Reduced Erosion+Intercropping+Rotation,Gross Profit,1,1,1,posT_negC,0,positive
Reduced Erosion+Organic Fert,Variable Cost,1,1,1,posT_negC,0,positive
Cover Crops+Reduced Erosion+Intercropping+Rotation,Variable Cost,1,1,2,posT_negC,0,positive
Reduced Erosion+Organic Fert,Benefit Cost Ratio (GPVC),2,1,0.5,posT_negC,0,positive
Cover Crops+Reduced Erosion+Intercropping+Rotation,Benefit Cost Ratio (GPVC),2,1,-0.5,posT_negC,0,positive
Reduced Tillage,Net Profit,46,8,0.269,posT_negC,1,positive
Reduced Tillage,Benefit Cost Ratio (NPTC),56,7,0.253,posT_negC,2,positive
Organic Fert,Variable Cost,90,13,1.14206349206349,posT_negC,0,positive
Reduced Fert+Organic Fert,Variable Cost,36,9,0.105882352941176,posT_negC,0,positive
Reduced Erosion,Variable Cost,11,3,0.416666666666667,posT_negC,0,positive
Organic Fert,Gross Revenue,95,15,1.25260416666667,posT_negC,0,positive
Reduced Fert+Organic Fert,Gross Revenue,41,8,0.398387096774194,posT_negC,0,positive
Reduced Erosion,Gross Revenue,11,3,0.916666666666667,posT_negC,0,positive
Organic Fert,Gross Profit,126,18,1.07762626262626,posT_negC,2,positive
Reduced Fert+Organic Fert,Gross Profit,52,9,0.192197452229299,posT_negC,0,positive
Reduced Erosion,Gross Profit,11,3,0.500375,posT_negC,1,positive
Organic Fert,Benefit Cost Ratio (GPVC),92,13,0.274284271284271,posT_negC,2,positive
Reduced Fert+Organic Fert,Benefit Cost Ratio (GPVC),40,9,0.632243697478992,posT_negC,2,positive
Reduced Erosion,Benefit Cost Ratio (GPVC),17,3,0.0625,posT_negC,0,positive
Intercropping,Marginal Rate of Return,8,2,-0.857142857142857,posT_negC,0,positive
Reduced Irrigation,Total Cost (Unconfirmed),10,2,0,posT_negC,0,positive
Reduced Irrigation,Net Profit (Unconfirmed),16,2,0.583583333333333,posT_negC,6,positive
Reduced Irrigation,Benefit Cost Ratio (NPTC),44,4,0.284615384615385,posT_negC,0,positive
Intercropping,Labour Cost per Asset,18,1,2,posT_negC,0,positive
Reduced Tillage,Marginal Rate of Return,1,1,1.001,posT_negC,1,positive
Agroforestry,Gross Profit,24,6,-0.325757575757576,posT_negC,0,positive
Biochar+Reduced Fert,Gross Revenue,7,2,0.5,posT_negC,0,positive
Biochar+Reduced Fert,Gross Profit,19,3,0.583333333333333,posT_negC,0,positive
IPM,Gross Profit,5,2,-0.416666666666667,posT_negC,0,positive
Cover Crops+IPM+Residue/Mulch,Gross Profit,1,1,-1,posT_negC,0,positive
IPM,Gross Revenue,6,3,0.0476190476190476,posT_negC,0,positive
Cover Crops+IPM+Residue/Mulch,Gross Revenue,1,1,-1,posT_negC,0,positive
IPM,Variable Cost,5,2,1.04166666666667,posT_negC,0,positive
Cover Crops+IPM+Residue/Mulch,Variable Cost,1,1,1,posT_negC,0,positive
IPM,Benefit Cost Ratio (GPVC),7,2,-1.083875,posT_negC,0,positive
Cover Crops+IPM+Residue/Mulch,Benefit Cost Ratio (GPVC),2,1,-1,posT_negC,0,positive
Biochar,Variable Cost,91,10,0.770161290322581,posT_negC,0,positive
Agroforestry+Organic Fert,Gross Profit,1,1,-1,posT_negC,0,positive
Agroforestry,Variable Cost,20,5,-0.701754385964912,posT_negC,0,positive
Agroforestry+Organic Fert,Variable Cost,1,1,-1,posT_negC,0,positive
Agroforestry+Reduced Fert,Gross Profit,3,2,-1,posT_negC,0,positive
Agroforestry+Reduced Fert,Variable Cost,3,2,-0.625,posT_negC,0,positive
Cover Crops+Residue/Mulch,Total Cost (Unconfirmed),8,1,0,posT_negC,0,positive
Cover Crops+Residue/Mulch,Gross Revenue,9,2,0.4375,posT_negC,0,positive
Cover Crops+Residue/Mulch,Net Profit,9,2,1.5,posT_negC,0,positive
Reduced Irrigation,Variable Cost,51,13,0.134090909090909,posT_negC,0,positive
Reduced Irrigation,Benefit Cost Ratio (GPVC),68,13,0.101136363636364,posT_negC,1,positive
Residue/Mulch,Benefit Cost Ratio (GPVC),168,31,0.19210980963481,posT_negC,6,positive
"",Gross Profit,12,3,0.500333333333333,posT_negC,3,positive
"",Variable Cost,9,2,-0.666666666666667,posT_negC,0,positive
"",Gross Revenue,9,2,0.25,posT_negC,0,positive
Reduced Fert+Residue/Mulch,Gross Profit,53,4,-0.245025793650794,posT_negC,7,positive
Reduced Fert+Reduced Tillage+Residue/Mulch,Gross Profit,18,1,0.333444444444444,posT_negC,2,positive
Residue/Mulch,Present Value of Benefit,2,1,2,posT_negC,0,positive
Residue/Mulch,Present Value of Cost,2,1,0,posT_negC,0,positive
Residue/Mulch,Net Present Value,2,1,2,posT_negC,0,positive
Residue/Mulch,Return on Investment,2,1,2,posT_negC,0,positive
Reduced Tillage,Total Cost,42,7,-0.156,posT_negC,0,positive
Agroforestry,Total Cost,12,3,0.80952380952381,posT_negC,0,positive
Residue/Mulch,Total Cost,10,5,0.444444444444444,posT_negC,0,positive
Cover Crops+Residue/Mulch,Total Cost,9,2,0,posT_negC,0,positive
Cover Crops,Total Cost,9,3,0.313380281690141,posT_negC,0,positive
Cover Crops,Gross Revenue,33,7,0.705585980284775,posT_negC,0,positive
Residue/Mulch,Net Profit,12,5,0.605263157894737,posT_negC,0,positive
Cover Crops,Net Profit,5,2,-0.25,posT_negC,0,positive
Reduced Fert+Reduced Irrigation,Variable Cost,9,1,0.333333333333333,posT_negC,0,positive
Reduced Fert+Reduced Irrigation,Gross Profit,9,1,-0.666666666666667,posT_negC,0,positive
Reduced Tillage,Benefit Cost Ratio (GPVC),197,40,0.768575320512821,posT_negC,2,positive
Reduced Fert+Reduced Irrigation,Benefit Cost Ratio (GPVC),18,1,0.611166666666667,posT_negC,1,positive
Reduced Fert,Benefit Cost Ratio (GPVC),227,31,0.433858250522037,posT_negC,4,positive
Rotation,Total Cost (Unconfirmed),2,1,2,posT_negC,0,positive
Reduced Tillage+Residue/Mulch,Total Cost,4,3,-0.363636363636364,posT_negC,0,positive
Reduced Irrigation+Reduced Tillage+Residue/Mulch,Total Cost,2,1,-1,posT_negC,0,positive
Reduced Irrigation+Reduced Tillage,Total Cost,2,1,0,posT_negC,0,positive
Reduced Fert,Benefit Cost Ratio (Unspecified),8,2,-0.227272727272727,posT_negC,0,positive
Organic Fert,Benefit Cost Ratio (Unspecified),6,3,0,posT_negC,0,positive
Residue/Mulch,Benefit Cost Ratio (NPTC),14,4,0.6,posT_negC,0,positive
Organic Fert,Total Cost (Unconfirmed),2,2,1,posT_negC,0,positive
Organic Fert,Net Profit (Unconfirmed),1,1,0,posT_negC,0,positive
Reduced Tillage+Residue/Mulch+Rotation,Total Cost,4,1,0.25,posT_negC,0,positive
Reduced Tillage+Residue/Mulch+Rotation,Gross Revenue,4,1,1.75,posT_negC,0,positive
