PrName,Out.SubInd,vote_mean,posT_negC,positive_strong,positive,neutral,negative,negative_strong,posC_negT,N.Obs,N.Studies
Improved Livestock Diet,Variable Cost,2,0,1,0,0,0,0,0,1,1
Improved Livestock Diet,Gross Profit,2,0,1,0,0,0,0,0,1,1
Reduced Tillage,Variable Cost,-0.463522012578616,0,0,14,115,48,3,0,180,41
Reduced Erosion+Reduced Tillage,Variable Cost,-1,0,0,0,0,6,0,0,6,1
Reduced Tillage,Gross Revenue,-0.0495379072681704,0,4,31,91,53,1,0,180,38
Reduced Erosion+Reduced Tillage,Gross Revenue,0.5,0,1,1,4,0,0,0,6,1
Reduced Tillage,Gross Profit,0.455504542140566,11,35,60,62,39,14,20,241,45
Reduced Erosion+Reduced Tillage,Gross Profit,1.16683333333333,1,2,2,1,0,0,0,6,1
Biochar,Gross Revenue,0.420386904761905,0,9,28,39,3,0,0,79,9
Biochar,Gross Profit,0.368279569892473,0,7,36,37,11,0,0,91,10
Biochar,Total Cost,0.25,0,0,9,36,0,0,0,45,4
Agroforestry,Gross Revenue,0.11969696969697,0,7,7,8,6,1,0,29,7
Intercropping+Residue/Mulch,Gross Profit,1,0,0,3,0,0,0,0,3,1
Reduced Erosion+Reduced Tillage+Residue/Mulch,Gross Profit,1,0,0,3,0,0,0,0,3,1
Reduced Erosion+Intercropping+Reduced Tillage+Residue/Mulch,Gross Profit,1,0,0,3,0,0,0,0,3,1
Reduced Tillage+Residue/Mulch,Gross Revenue,0.175925925925926,0,1,11,32,12,0,0,56,16
Reduced Irrigation+Reduced Tillage,Gross Revenue,0.0794871794871795,0,2,11,40,2,0,0,55,10
Reduced Irrigation+Reduced Tillage+Residue/Mulch,Gross Revenue,0.222727272727273,0,0,9,4,2,0,0,15,3
Reduced Tillage+Residue/Mulch,Gross Profit,0.46347123015873,4,16,35,25,20,2,3,105,24
Reduced Irrigation+Reduced Tillage,Gross Profit,0.379709150326797,0,13,28,18,6,0,2,67,14
Reduced Irrigation+Reduced Tillage+Residue/Mulch,Gross Profit,0.458823529411765,0,8,6,1,2,2,0,19,5
Reduced Tillage+Residue/Mulch,Variable Cost,-0.322380597014925,1,0,9,26,25,2,0,63,20
Reduced Irrigation+Reduced Tillage,Variable Cost,-0.523333333333333,0,2,1,20,35,1,0,59,12
Reduced Irrigation+Reduced Tillage+Residue/Mulch,Variable Cost,-0.860714285714286,0,1,0,1,15,0,0,17,4
Residue/Mulch,Gross Revenue,0.493700072621641,0,19,59,67,16,0,0,161,30
Residue/Mulch,Gross Profit,0.410899405279954,13,64,65,70,24,18,6,260,38
Intercropping,Gross Revenue,0.845350241545894,0,41,21,35,6,2,0,105,12
Intercropping,Net Profit,1.66666666666667,0,2,1,0,0,0,0,3,1
Intercropping+Rotation,Gross Revenue,1.5,0,6,1,0,0,0,0,7,3
