PrName,Out.SubInd,vote_mean,posT_negC,positive_strong,positive,neutral,negative,negative_strong,posC_negT,N.Obs,N.Studies
Improved Livestock Diet,Variable Cost,2,0,1,0,0,0,0,0,1,1
Improved Livestock Diet,Gross Profit,2,0,1,0,0,0,0,0,1,1
Reduced Tillage,Variable Cost,-0.415468023924546,1,3,52,202,156,6,0,420,55
Reduced Tillage,Gross Revenue,0.117071802543007,0,39,80,189,85,1,0,394,49
Reduced Tillage,Gross Profit,0.541374389087684,21,130,168,127,104,32,28,610,64
Reduced Tillage,Labour Cost per Asset,1,0,0,1,0,0,0,0,1,1
Reduced Tillage,Net Profit,0.588642276422764,1,10,4,12,25,6,0,58,11
Reduced Tillage,Benefit Cost Ratio (NPTC),0.676822916666667,2,22,14,10,13,3,2,66,9
Reduced Tillage,Marginal Rate of Return,1.001,1,0,0,0,0,0,0,1,1
Reduced Tillage,Total Cost,-0.238571428571429,0,1,3,42,9,1,0,56,10
Reduced Tillage,Benefit Cost Ratio (GPVC),0.639902252567694,9,93,127,100,81,30,12,452,54
Reduced Tillage,Total Cost (Unconfirmed),0,0,0,0,2,0,0,0,2,1
Reduced Tillage,Net Present Value,1.71442857142857,1,5,1,0,0,0,0,7,1
Reduced Tillage,Internal Rate of Return,1.85714285714286,0,6,1,0,0,0,0,7,1
Reduced Tillage,Payback Period,2,0,7,0,0,0,0,0,7,1
Reduced Tillage,Fixed Cost,0,0,0,0,4,0,0,0,4,1
Reduced Tillage,Benefit Cost Ratio (Unspecified),-1.5,0,0,0,0,3,3,0,6,1
Reduced Erosion,Variable Cost,0.574175824175824,0,8,7,8,7,0,0,30,7
Reduced Erosion,Gross Revenue,0.979591836734694,0,3,13,9,0,0,0,25,7
Reduced Erosion,Gross Profit,0.598636363636364,2,2,25,5,4,1,1,40,9
Reduced Erosion,Net Profit (Unconfirmed),1.21435714285714,1,7,12,2,1,0,0,23,2
Reduced Erosion,Benefit Cost Ratio (Unspecified),0.9,0,1,7,2,0,0,0,10,1
Reduced Erosion,Benefit Cost Ratio (GPVC),0.20881043956044,1,9,5,12,13,4,0,44,7
Reduced Erosion,Net Profit,0,0,0,0,1,0,0,0,1,1
Biochar,Gross Revenue,0.625446428571429,0,29,29,45,3,0,0,106,9
Biochar,Gross Profit,0.510483870967742,0,27,43,48,12,0,0,130,10
Biochar,Total Cost,0.3375,0,13,18,43,9,0,0,83,4
Biochar,Variable Cost,0.825806451612903,0,44,33,37,12,4,0,130,10
Biochar,Total Cost (Unconfirmed),-0.4,0,0,0,9,6,0,0,15,1
Biochar,Net Profit,0.922222222222222,0,29,28,14,12,0,0,83,4
Biochar,Benefit Cost Ratio (GPVC),0.0752204301075269,4,16,25,37,31,4,5,122,10
Biochar,Benefit Cost Ratio (NPTC),0.172222222222222,0,23,11,28,16,5,0,83,4
